stationId,utc_time,hour,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2018-05-05 00:00:00,0,74.0,126.0,67.0,0.8,71.0,6.0
aotizhongxin_aq,2018-05-05 01:00:00,1,75.0,220.0,51.0,0.6,75.0,3.0
aotizhongxin_aq,2018-05-05 02:00:00,2,108.0,485.0,39.0,0.5,72.0,2.0
aotizhongxin_aq,2018-05-05 03:00:00,3,124.0,587.0,31.0,0.4,72.0,2.0
aotizhongxin_aq,2018-05-05 04:00:00,4,133.0,596.0,18.0,0.3,82.0,2.0
aotizhongxin_aq,2018-05-05 05:00:00,5,117.0,501.0,16.0,0.2,86.0,2.0
aotizhongxin_aq,2018-05-05 06:00:00,6,102.0,440.0,24.0,0.3,77.0,2.0
aotizhongxin_aq,2018-05-05 07:00:00,7,71.0,268.0,20.0,0.2,80.0,2.0
aotizhongxin_aq,2018-05-05 08:00:00,8,51.0,216.0,23.0,0.2,75.0,2.0
aotizhongxin_aq,2018-05-05 09:00:00,9,41.0,178.0,27.0,0.2,74.0,2.0
aotizhongxin_aq,2018-05-05 10:00:00,10,38.0,173.0,28.0,0.3,73.0,2.0
aotizhongxin_aq,2018-05-05 11:00:00,11,36.0,145.0,44.0,0.4,59.0,2.0
aotizhongxin_aq,2018-05-05 12:00:00,12,41.0,151.0,56.0,0.4,43.0,2.0
aotizhongxin_aq,2018-05-05 13:00:00,13,50.0,145.0,76.0,0.6,27.0,2.0
aotizhongxin_aq,2018-05-05 14:00:00,14,69.0,260.0,42.0,0.5,68.0,5.0
aotizhongxin_aq,2018-05-05 15:00:00,15,75.0,303.0,54.0,0.6,54.0,5.0
aotizhongxin_aq,2018-05-05 16:00:00,16,77.0,311.0,67.0,0.6,40.0,4.0
aotizhongxin_aq,2018-05-05 17:00:00,17,74.0,308.0,80.0,0.6,22.0,3.0
aotizhongxin_aq,2018-05-05 18:00:00,18,70.0,248.0,102.0,0.6,2.0,3.0
aotizhongxin_aq,2018-05-05 19:00:00,19,63.0,229.0,103.0,0.7,2.0,5.0
aotizhongxin_aq,2018-05-05 20:00:00,20,62.0,204.0,90.0,0.7,2.0,4.0
aotizhongxin_aq,2018-05-05 21:00:00,21,64.0,185.0,87.0,0.6,2.0,4.0
aotizhongxin_aq,2018-05-05 22:00:00,22,52.0,169.0,85.0,0.6,2.0,3.0
aotizhongxin_aq,2018-05-05 23:00:00,23,61.0,169.0,78.0,0.5,2.0,3.0
badaling_aq,2018-05-05 00:00:00,0,110.0,291.0,69.0,0.6,35.0,7.0
badaling_aq,2018-05-05 01:00:00,1,141.0,563.0,47.0,0.5,42.0,3.0
badaling_aq,2018-05-05 02:00:00,2,128.0,621.0,50.0,0.5,39.0,3.0
badaling_aq,2018-05-05 03:00:00,3,122.0,570.0,48.0,0.5,49.0,4.0
